H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.256,0.12,0.5,1,41,10,3
0,0.256,0.12,0.75,1,41,10,4
0,0.256,0.12,1,1,41,10,5
0,0.256,0.13,0.25,1,41,11,2
0,0.256,0.13,0.5,1,41,11,3
0,0.256,0.13,0.75,1,41,11,4
0,0.256,0.14,0.25,1,41,12,2
0,0.256,0.14,0.5,1,41,12,3
0,0.256,0.15,0,1,41,13,1
0,0.256,0.15,0.25,1,41,13,2
0,0.256,0.15,0.5,1,41,13,3
0,0.256,0.16,0,1,41,14,1
0,0.275684,0.07,0.75,1,42,5,4
0,0.275684,0.07,1,1,42,5,5
0,0.275684,0.08,0.75,1,42,6,4
0,0.275684,0.08,1,1,42,6,5
0,0.275684,0.09,0.5,1,42,7,3
0,0.275684,0.09,0.75,1,42,7,4
0,0.275684,0.09,1,1,42,7,5
0,0.275684,0.1,0.25,1,42,8,2
0,0.275684,0.1,0.5,1,42,8,3
0,0.275684,0.1,0.75,1,42,8,4
0,0.275684,0.1,1,1,42,8,5
0,0.275684,0.11,0.25,1,42,9,2
0,0.275684,0.11,0.5,1,42,9,3
0,0.275684,0.11,0.75,1,42,9,4
0,0.275684,0.11,1,1,42,9,5
0,0.275684,0.12,0.25,1,42,10,2
0,0.275684,0.12,0.5,1,42,10,3
0,0.275684,0.12,0.75,1,42,10,4
0,0.275684,0.12,1,1,42,10,5
0,0.275684,0.13,0.25,1,42,11,2
0,0.275684,0.13,0.5,1,42,11,3
0,0.275684,0.13,0.75,1,42,11,4
0,0.275684,0.14,0,1,42,12,1
0,0.275684,0.14,0.25,1,42,12,2
0,0.275684,0.15,0,1,42,13,1
0,0.275684,0.15,0.25,1,42,13,2
0,0.275684,0.16,0,1,42,14,1
0,0.296352,0.06,1,1,43,4,5
0,0.296352,0.07,1,1,43,5,5
0,0.296352,0.08,0.5,1,43,6,3
0,0.296352,0.08,0.75,1,43,6,4
0,0.296352,0.08,1,1,43,6,5
0,0.296352,0.09,0.5,1,43,7,3
0,0.296352,0.09,0.75,1,43,7,4
0,0.296352,0.09,1,1,43,7,5
0,0.296352,0.1,0.25,1,43,8,2
0,0.296352,0.1,0.5,1,43,8,3
0,0.296352,0.1,0.75,1,43,8,4
0,0.296352,0.1,1,1,43,8,5
0,0.296352,0.11,0.25,1,43,9,2
0,0.296352,0.11,0.5,1,43,9,3
0,0.296352,0.11,0.75,1,43,9,4
0,0.296352,0.11,1,1,43,9,5
0,0.296352,0.12,0.25,1,43,10,2
0,0.296352,0.12,0.5,1,43,10,3
0,0.296352,0.12,0.75,1,43,10,4
0,0.296352,0.13,0,1,43,11,1
0,0.296352,0.13,0.25,1,43,11,2
0,0.296352,0.13,0.5,1,43,11,3
0,0.296352,0.13,0.75,1,43,11,4
0,0.296352,0.14,0,1,43,12,1
0,0.296352,0.14,0.25,1,43,12,2
0,0.296352,0.14,0.5,1,43,12,3
0,0.296352,0.14,0.75,1,43,12,4
0,0.296352,0.15,0,1,43,13,1
0,0.296352,0.16,0,1,43,14,1
0,0.318028,0.06,1,1,44,4,5
0,0.318028,0.07,0.75,1,44,5,4
0,0.318028,0.07,1,1,44,5,5
0,0.318028,0.08,0.5,1,44,6,3
0,0.318028,0.08,0.75,1,44,6,4
0,0.318028,0.08,1,1,44,6,5
0,0.318028,0.09,0.5,1,44,7,3
0,0.318028,0.09,0.75,1,44,7,4
0,0.318028,0.09,1,1,44,7,5
0,0.318028,0.1,0.25,1,44,8,2
0,0.318028,0.1,0.5,1,44,8,3
0,0.318028,0.1,0.75,1,44,8,4
0,0.318028,0.1,1,1,44,8,5
0,0.318028,0.11,0.25,1,44,9,2
0,0.318028,0.11,0.5,1,44,9,3
0,0.318028,0.11,0.75,1,44,9,4
0,0.318028,0.12,0.25,1,44,10,2
0,0.318028,0.12,0.5,1,44,10,3
0,0.318028,0.12,0.75,1,44,10,4
0,0.318028,0.13,0,1,44,11,1
0,0.318028,0.13,0.25,1,44,11,2
0,0.318028,0.13,0.5,1,44,11,3
0,0.318028,0.13,0.75,1,44,11,4
0,0.318028,0.14,0,1,44,12,1
0,0.318028,0.15,0,1,44,13,1
0,0.3645,0.06,1,1,46,4,5
0,0.3645,0.07,0.75,1,46,5,4
0,0.3645,0.07,1,1,46,5,5
0,0.3645,0.08,0.5,1,46,6,3
0,0.3645,0.08,0.75,1,46,6,4
0,0.3645,0.08,1,1,46,6,5
0,0.3645,0.09,0.25,1,46,7,2
0,0.3645,0.09,0.5,1,46,7,3
0,0.3645,0.09,0.75,1,46,7,4
0,0.3645,0.09,1,1,46,7,5
0,0.3645,0.1,0.25,1,46,8,2
0,0.3645,0.1,0.5,1,46,8,3
0,0.3645,0.1,0.75,1,46,8,4
0,0.3645,0.1,1,1,46,8,5
0,0.3645,0.11,0.25,1,46,9,2
0,0.3645,0.11,0.5,1,46,9,3
0,0.3645,0.11,0.75,1,46,9,4
0,0.3645,0.11,1,1,46,9,5
0,0.3645,0.12,0,1,46,10,1
0,0.3645,0.12,0.25,1,46,10,2
0,0.3645,0.12,0.75,1,46,10,4
0,0.3645,0.13,0,1,46,11,1
0,0.3645,0.13,0.75,1,46,11,4
0,0.3645,0.14,0,1,46,12,1
0,0.3645,0.15,0.5,1,46,13,3
0,0.389344,0.05,1,1,47,3,5
0,0.389344,0.06,0.75,1,47,4,4
0,0.389344,0.06,1,1,47,4,5
0,0.389344,0.07,0.5,1,47,5,3
0,0.389344,0.07,0.75,1,47,5,4
0,0.389344,0.07,1,1,47,5,5
0,0.389344,0.08,0.5,1,47,6,3
0,0.389344,0.08,0.75,1,47,6,4
0,0.389344,0.08,1,1,47,6,5
0,0.389344,0.09,0.25,1,47,7,2
0,0.389344,0.09,0.5,1,47,7,3
0,0.389344,0.09,0.75,1,47,7,4
0,0.389344,0.09,1,1,47,7,5
0,0.389344,0.1,0.25,1,47,8,2
0,0.389344,0.1,0.5,1,47,8,3
0,0.389344,0.1,0.75,1,47,8,4
0,0.389344,0.1,1,1,47,8,5
0,0.389344,0.11,0.25,1,47,9,2
0,0.389344,0.11,0.5,1,47,9,3
0,0.389344,0.11,0.75,1,47,9,4
0,0.389344,0.12,0,1,47,10,1
0,0.389344,0.12,0.25,1,47,10,2
0,0.389344,0.12,0.75,1,47,10,4
0,0.389344,0.13,0,1,47,11,1
0,0.389344,0.14,0,1,47,12,1
0,0.389344,0.16,0.75,1,47,14,4
0,0.389344,0.33,1,1,47,31,5
0,0.415292,0.05,1,1,48,3,5
0,0.415292,0.06,0.75,1,48,4,4
0,0.415292,0.06,1,1,48,4,5
0,0.415292,0.07,0.5,1,48,5,3
0,0.415292,0.07,0.75,1,48,5,4
0,0.415292,0.07,1,1,48,5,5
0,0.415292,0.08,0.25,1,48,6,2
0,0.415292,0.08,0.5,1,48,6,3
0,0.415292,0.08,0.75,1,48,6,4
0,0.415292,0.08,1,1,48,6,5
0,0.415292,0.09,0.25,1,48,7,2
0,0.415292,0.09,0.5,1,48,7,3
0,0.415292,0.09,0.75,1,48,7,4
0,0.415292,0.09,1,1,48,7,5
0,0.415292,0.1,0.25,1,48,8,2
0,0.415292,0.1,0.5,1,48,8,3
0,0.415292,0.1,0.75,1,48,8,4
0,0.415292,0.1,1,1,48,8,5
0,0.415292,0.11,0,1,48,9,1
0,0.415292,0.11,0.25,1,48,9,2
0,0.415292,0.11,0.5,1,48,9,3
0,0.415292,0.12,0,1,48,10,1
0,0.415292,0.12,0.5,1,48,10,3
0,0.415292,0.12,1,1,48,10,5
0,0.415292,0.13,0,1,48,11,1
0,0.415292,0.13,0.5,1,48,11,3
0,0.415292,0.13,0.75,1,48,11,4
0,0.415292,0.33,1,1,48,31,5
0,0.442368,0.05,0.75,1,49,3,4
0,0.442368,0.05,1,1,49,3,5
0,0.442368,0.06,0.75,1,49,4,4
0,0.442368,0.06,1,1,49,4,5
0,0.442368,0.07,0.5,1,49,5,3
0,0.442368,0.07,0.75,1,49,5,4
0,0.442368,0.07,1,1,49,5,5
0,0.442368,0.08,0.25,1,49,6,2
0,0.442368,0.08,0.5,1,49,6,3
0,0.442368,0.08,0.75,1,49,6,4
0,0.442368,0.08,1,1,49,6,5
0,0.442368,0.09,0.25,1,49,7,2
0,0.442368,0.09,0.5,1,49,7,3
0,0.442368,0.09,0.75,1,49,7,4
0,0.442368,0.09,1,1,49,7,5
0,0.442368,0.1,0.25,1,49,8,2
0,0.442368,0.1,0.5,1,49,8,3
0,0.442368,0.1,0.75,1,49,8,4
0,0.442368,0.1,1,1,49,8,5
0,0.442368,0.11,0,1,49,9,1
0,0.442368,0.11,0.25,1,49,9,2
